group,symbol,size,outer_d_mm,inner_d_mm,thickness_mm,SWD_mm,LWD_mm,unit,length_m,weight,note,列1,列2
リップ溝形鋼,LC,3.2×150×65×20,,,,,,bar,,7.51,,,
リップ溝形鋼,LC,3.2×150×75×20,,,,,,bar,,8.01,,,
リップ溝形鋼,LC,4.5×150×75×25,,,,,,bar,,11.3,,,
,,,,,,,,,,,,,
リップ溝形鋼,LC,3.2×200×75×20,,,,,,bar,,9.27,,,
リップ溝形鋼,LC,3.2×200×75×25,,,,,,bar,,9.52,,,
リップ溝形鋼,LC,4.5×200×75×25,,,,,,bar,,13.1,,,
,,,,,,,,,,,,,
軽溝形鋼,LC,1.6×40×20,,,,,,bar,,0.939,,,
軽溝形鋼,LC,2.3×40×20,,,,,,bar,,1.31,,,
,,,,,,,,,,,,,
軽溝形鋼,LC,1.6×60×30,,,,,,bar,,1.44,,,
軽溝形鋼,LC,2.3×60×30,,,,,,bar,,2.03,,,
,,,,,,,,,,,,,
軽溝形鋼,LC,2.3×80×40,,,,,,bar,,2.75,,,
軽溝形鋼,LC,2.3×100×40,,,,,,bar,,3.11,,,
,,,,,,,,,,,,,
軽溝形鋼,LC,2.3×100×50,,,,,,bar,,3.47,,,
